"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
5,1,1200,"1",600,"1","2",575,"1","6","M",4929014,219730,"3","3","2","1","1","1","1","1","1","1",1998,"5","21","2","1","3","17","0"
8,18,1330,"1",600,"1","2",504,"1","5","M",4935379,217772,"3","2","2","1","1","1","1","1","1","1",1946,"5","11","7","2","2","2","0"
8,18,1330,"1",600,"1","2",504,"1","5","M",4935379,217772,"3","2","2","1","1","1","1","1","1","1",1971,"4","11","7","2","1","5","0"
12,14,1245,"1",600,"1","1",462,"8","6","M",4933334,219866,"3","2","2","4","2","2","3","1","1","2",1995,"4","11","7","1","1","16","1"
12,15,1615,"1",600,"1","1",135,"8","1","M",4929892,225533,"3","2","3","2","1","2","1","1","1","2",1978,"9","11","7","2","2","15","0"
8,17,1700,"1",600,"1","1",454,"1","2","M",4940107,233927,"3","2","1","1","1","1","1","1","1","1",1976,"4","11","7","2","2","2","0"
1,16,745,"2",600,"1","1",520,"8","1","M",4950622,230355,"3","2","2","3","2","1","1","1","1","2",1977,"1","11","7","2","3","1","0"
1,16,745,"2",600,"1","1",520,"8","1","M",4950622,230355,"3","2","2","3","2","1","1","1","1","1",1990,"1","21","30","2","1","1","1"
6,7,1415,"1",600,"1","2",360,"1","1","M",4933071,245830,"4","2","2","2","1","1","1","1","1","1",1992,"5","11","7","9","1","15","0"
6,7,1415,"1",600,"1","2",360,"1","1","M",4933071,245830,"4","2","2","2","1","1","1","1","1","1",2000,"5","23","1","2","7","16","1"
7,9,1000,"1",600,"1","2",360,"1","6","M",4933093,246117,"4","1","1","1","3","1","1","1","1","2",1986,"9","11","7","1","1","1","0"
3,17,1015,"1",600,"8","2",439,"7","1","M",4931214,232798,"4","2","2","1","1","1","1","1","1","1",1969,"4","91","39","2","1","1","0"
10,30,1815,"1",600,"1","2",116,"1","1","M",4933314,233534,"3","2","2","2","1","2","1","1","1","1",1959,"1","21","33","2","1","1","1"
11,13,745,"2",600,"1","1",116,"2","1","M",4929336,235764,"3","2","2","1","1","2","1","1","1","1",1986,"1","11","7","2","3","17","1"
11,13,745,"2",600,"1","1",116,"2","1","M",4929336,235764,"3","2","2","1","1","2","1","1","1","1",1949,"3","11","7","2","3","1","1"
